STATION,NAME,DATE,TAVG,TMAX,TMIN,PRCP
USW00021504,HILO,1/1/2020,74,83,68,0
USW00021504,HILO,1/2/2020,74,83,66,0.08
USW00021504,HILO,1/3/2020,74,83,66,0.1
USW00021504,HILO,1/4/2020,74,82,68,0.55
USW00021504,HILO,1/5/2020,75,83,70,1.63
USW00021504,HILO,1/6/2020,77,85,70,0.57
USW00021504,HILO,1/7/2020,75,87,68,0.4
USW00021504,HILO,1/8/2020,78,89,72,0.59
USW00021504,HILO,1/9/2020,79,87,73,0.73
USW00021504,HILO,1/10/2020,78,87,74,3.21
USW00021504,HILO,1/11/2020,78,87,74,0.64
USW00021504,HILO,1/12/2020,83,85,73,2.73
USW00021504,HILO,1/13/2020,76,86,74,0.41
USW00021504,HILO,1/14/2020,75,77,69,0.51
USW00021504,HILO,1/15/2020,72,78,69,1.83
USW00021504,HILO,1/16/2020,72,76,69,0.65
USW00021504,HILO,1/17/2020,72,82,66,0.07
USW00021504,HILO,1/18/2020,75,81,70,0.44
USW00021504,HILO,1/19/2020,75,80,68,0.09
USW00021504,HILO,1/20/2020,72,81,67,0.07
USW00021504,HILO,1/21/2020,73,82,67,0
USW00021504,HILO,1/22/2020,74,82,67,0
USW00021504,HILO,1/23/2020,73,83,65,0.08
USW00021504,HILO,1/24/2020,74,83,67,0
USW00021504,HILO,1/25/2020,74,81,67,0.07
USW00021504,HILO,1/26/2020,73,83,66,0
USW00021504,HILO,1/27/2020,74,83,67,0.03
USW00021504,HILO,1/28/2020,72,82,64,0.03
USW00021504,HILO,1/29/2020,73,83,68,0.13
USW00021504,HILO,1/30/2020,74,82,68,0.02
USW00021504,HILO,1/31/2020,73,79,69,0.23
USW00021504,HILO,2/1/2020,73,81,68,0.42
USW00021504,HILO,2/2/2020,70,77,66,0.32
USW00021504,HILO,2/3/2020,71,82,64,0.11
USW00021504,HILO,2/4/2020,73,83,66,0.01
USW00021504,HILO,2/5/2020,74,81,68,0.32
USW00021504,HILO,2/6/2020,72,77,67,0.25
USW00021504,HILO,2/7/2020,72,75,64,0.28
USW00021504,HILO,2/8/2020,67,80,59,0
USW00021504,HILO,2/9/2020,70,81,61,0
USW00021504,HILO,2/10/2020,72,83,62,0
USW00021504,HILO,2/11/2020,72,80,63,0.14
USW00021504,HILO,2/12/2020,70,86,65,0.05
USW00021504,HILO,2/13/2020,77,87,71,0.05
USW00021504,HILO,2/14/2020,76,83,70,0.06
USW00021504,HILO,2/15/2020,74,84,67,0.16
USW00021504,HILO,2/16/2020,72,81,66,0.09
